M,n_modes,gamma,field,seed,sum_T,sum_absT,sum_A,r_cons,Pi_half,A_half,D_a,shell_n,shell_A,shell_absT,shell_sumT,D_b1,D_b2,secs
8,2108,1.833333,locked_plus,0,-4.5862836098e-15,4.1687999350e0,7.5968449437e2,1.100e-15,2.2415879916e-15,4.4625595536e2,1.990803e17,690,8.4890680322e1,1.1691075419e0,-1.5054147165e-15,7.261152e1,5.639023e16,0.05
8,2108,1.833333,locked_quad,0,9.2911789373e-15,9.5340410123e1,4.7662660583e2,9.745e-17,1.4062173205e0,2.8099873918e2,1.998260e2,690,5.3910333888e1,1.6182194026e1,4.3911509730e-1,3.331460e0,1.227704e2,0.04
8,2108,1.833333,arith,0,-5.6161672535e-17,1.5132145981e2,6.2550611434e2,3.711e-19,2.4336773299e-1,3.8749037758e2,1.592201e3,690,7.6222690680e1,1.6890100263e1,3.3448001514e-3,4.512862e0,2.278841e4,0.05
9,3070,0.000000,random,1,-8.2067685980e-13,1.3342065968e5,4.3466501677e6,6.151e-18,7.5202922903e2,3.8964728544e6,5.181278e3,962,1.3150540125e6,4.6294108247e4,6.0104835028e2,2.840651e1,2.187934e3,0.12
9,3070,0.000000,random,2,-2.7782220968e-12,1.3096253490e5,4.3612678419e6,2.121e-17,-9.9871445805e1,3.9095346629e6,3.914567e4,962,1.3164024763e6,4.2463147060e4,1.9022167086e3,3.100106e1,6.920360e2,0.13
9,3070,0.000000,random,3,5.8051341512e-12,1.2955318638e5,4.3504565046e6,4.481e-17,1.7215293148e3,3.8988344765e6,2.264751e3,962,1.3124752015e6,4.1615485572e4,1.2212595604e2,3.153814e1,1.074690e4,0.14
9,3070,0.000000,locked_plus,0,-3.6132208336e-11,2.7213424337e4,9.1978584252e6,1.328e-15,-3.4085845257e-11,8.3734317861e6,2.456572e17,962,2.8833383776e6,1.0529467093e4,5.6477045263e-12,2.738352e2,5.105328e17,0.13
9,3070,0.000000,locked_quad,0,2.0827428671e-10,1.6976597971e6,5.0138045893e6,1.227e-16,1.8610346388e4,4.5349850370e6,2.436809e2,962,1.5727545465e6,6.1882157332e5,3.1083702718e4,2.541532e0,5.059740e1,0.11
9,3070,0.000000,arith,0,7.3838712922e-11,2.4414827856e6,7.5324621935e6,3.024e-17,1.6411012519e3,6.8326246988e6,4.163439e3,962,2.3998803983e6,6.6843009905e5,-1.5478696269e2,3.590324e0,1.550441e4,0.13
9,3070,1.833333,random,1,1.7351571568e-15,3.1888770642e1,4.7494784595e2,5.441e-17,3.6456335703e-1,2.6385965663e2,7.237690e2,962,4.6894958638e1,2.7164552686e0,7.7967805346e-3,1.726329e1,6.014657e3,0.09
9,3070,1.833333,random,2,-7.1889109249e-15,3.3113732407e1,4.7848357673e2,2.171e-16,9.4360199752e-2,2.6434037021e2,2.801397e3,962,4.6948638371e1,2.6298452970e0,1.3490424930e-1,1.785224e1,3.480145e2,0.10
9,3070,1.833333,random,3,1.5772973205e-15,3.5380781953e1,4.7599236144e2,4.458e-17,-5.5157066893e-2,2.6329496540e2,4.773549e3,962,4.6974235307e1,2.6636638899e0,-6.8812180237e-2,1.763520e1,6.826442e2,0.14
9,3070,1.833333,locked_plus,0,-3.8131525932e-15,4.4688404193e0,9.4253456210e2,8.533e-16,2.7094076765e-15,5.3915748409e2,1.989946e17,962,9.7921238360e1,1.1328257967e0,-1.1069839706e-15,8.643980e1,8.845768e16,0.06
9,3070,1.833333,locked_quad,0,-9.8705765783e-15,1.1678151541e2,5.9320534246e2,8.452e-17,1.5883565454e0,3.4106275094e2,2.147268e2,962,6.2581466437e1,1.8705155960e1,5.2248935983e-1,3.345680e0,1.197756e2,0.08
9,3070,1.833333,arith,0,-8.5488799199e-15,1.9236161733e2,7.9461281492e2,4.444e-17,3.1001661192e-1,4.7898893553e2,1.545043e3,962,8.9673633918e1,1.9562901189e1,8.9182646850e-3,4.583862e0,1.005505e4,0.07
10,4168,0.000000,random,1,2.1174173526e-12,2.2964199253e5,8.8822161820e6,9.221e-18,-2.3551104180e2,7.9894808802e6,3.392402e4,1098,2.2370386377e6,5.9334528711e4,9.1494854219e1,3.770214e1,2.444988e4,0.19
10,4168,0.000000,random,2,-6.3096194935e-12,2.2465764227e5,8.8956835370e6,2.809e-17,2.1872424621e3,8.0014401281e6,3.658232e3,1098,2.2401012773e6,6.2505239348e4,-3.2168048401e3,3.583862e1,6.963746e2,0.21
10,4168,0.000000,random,3,-1.5436540934e-11,2.2658779127e5,8.8972180196e6,6.813e-17,6.2986008339e2,8.0002383857e6,1.270161e4,1098,2.2387434247e6,5.9919392312e4,1.2472499824e3,3.736259e1,1.794944e3,0.17
10,4168,0.000000,locked_plus,0,1.8208723418e-10,3.8827951349e4,1.8761279401e7,4.690e-15,2.4325075287e-10,1.7131947741e7,7.042917e16,1098,4.8956740626e6,1.3076134522e4,1.3604406490e-10,3.743977e2,3.598594e16,0.16
10,4168,0.000000,locked_quad,0,-1.7780621420e-10,3.4628194156e6,1.0231377485e7,5.135e-17,4.3141689810e4,9.2878252109e6,2.152865e2,1098,2.6770386370e6,1.0663259366e6,6.5482866672e4,2.510526e0,4.088151e1,0.14
10,4168,0.000000,arith,0,2.0318147165e-10,5.0326830432e6,1.5550800660e7,4.037e-17,2.1055043508e3,1.4129604945e7,6.710794e3,1098,4.1256720914e6,1.1497365683e6,-1.3432462820e3,3.588363e0,3.071419e3,0.19
10,4168,1.833333,random,1,3.3068166261e-16,3.6274102340e1,5.6833158703e2,9.116e-18,-3.3034238848e-1,3.1324846533e2,9.482539e2,1098,4.4171488678e1,2.1611674271e0,-3.2510330816e-2,2.043872e1,1.358691e3,0.21
10,4168,1.833333,random,2,-5.0306980803e-16,3.4380011257e1,5.6929900795e2,1.463e-17,1.5747440682e-1,3.1291110484e2,1.987060e3,1098,4.4133881998e1,2.1658159782e0,-1.6335085488e-2,2.037748e1,2.701785e3,0.23
10,4168,1.833333,random,3,-4.3449402062e-16,3.4697791756e1,5.6567063488e2,1.252e-17,2.1501614451e-1,3.1304774876e2,1.455927e3,1098,4.4277257983e1,2.2276105942e0,6.0303008048e-2,1.987657e1,7.342463e2,0.18
10,4168,1.833333,locked_plus,0,-1.2854663487e-14,4.5611394913e0,1.1195313995e3,2.818e-15,5.8734111596e-15,6.3957462633e2,1.088932e17,1098,9.1909857572e1,1.0085213901e0,-2.5710160455e-16,9.113328e1,3.574846e17,0.20
10,4168,1.833333,locked_quad,0,-3.3271996269e-15,1.3756318556e2,7.0629743393e2,2.419e-17,2.3861966776e0,4.0572194584e2,1.700287e2,1098,5.8880600016e1,1.8192107996e1,6.5051191141e-1,3.236601e0,9.051425e1,0.26
10,4168,1.833333,arith,0,5.8435786592e-15,2.3225997125e2,9.6073650404e2,2.516e-17,2.8924661594e-1,5.7617723586e2,1.991993e3,1098,8.5289327185e1,1.8720539385e1,-1.3720947386e-2,4.555923e0,6.215994e3,0.18
